   0   4   4
     1  0.17716E+01
    1   -1    1
    1   -1 -0.124846668E+00  0.330544971E+00  0.000000000E+00  0.000000000E+00
    1    0  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    1  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1   -1    2
    1   -1  0.000000000E+00  0.000000000E+00 -0.140430228E+00  0.347432841E+00
    1    0  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    1  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    0    1
    1   -1  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    0 -0.124846668E+00  0.330544971E+00  0.000000000E+00  0.000000000E+00
    1    1  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    0    2
    1   -1  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    0  0.000000000E+00  0.000000000E+00 -0.140430228E+00  0.347432841E+00
    1    1  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    1    1
    1   -1  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    0  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    1 -0.124846668E+00  0.330544971E+00  0.000000000E+00  0.000000000E+00
    1    1    2
    1   -1  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    0  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    1  0.000000000E+00  0.000000000E+00 -0.140430228E+00  0.347432841E+00
    1  0.381311626E+00  0.347048521E-16  0.381311626E+00
    2   -2    1
    1   -1  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    0  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    1    1  0.000000000E+00  0.000000000E+00  0.000000000E+00  0.000000000E+00
    2   -2 -0.331779637E-01  0.179101051E+00  0.000000000E+00  0.000000000E+00
